1, A, 21, 15
1, B, 21, 14
1, C, 21.5, 14.5
1, D, 21.5, 15.5
2, A, 21, 15
2, B, 31.5, 17.5
2, C, 32, 19
2, D, 35, 23
3, A, 21, 15
3, B, 22.5, 18
3, C, 23.5, 19
3, D, 23, 19
4, A, 21, 15
4, B, 23, 18.5
4, C, 16.5, 16
4, D, 17, 16
5, A, 21, 15
5, B, 22.5, 14
5, C, 13.5, 11
5, D, 14, 12
